Channel_Die,Start,End,Operation
6-2,522100268,523900268,WRITE
6-2,526650268,528450268,WRITE
6-2,531200268,533000268,WRITE
6-2,535750268,537550268,WRITE
6-2,540300268,542100268,WRITE
6-2,544850268,546650268,WRITE
6-2,549400268,551200268,WRITE
6-2,553950268,555750268,WRITE
6-2,558500268,560300268,WRITE
6-2,563050268,564850268,WRITE
6-2,567600268,569400268,WRITE
6-2,572150268,573950268,WRITE
6-2,576700268,578500268,WRITE
6-2,581250268,583050268,WRITE
6-2,585800268,587600268,WRITE
6-2,590350268,592150268,WRITE
6-2,594900268,596700268,WRITE
6-2,599450268,601250268,WRITE
6-2,604000268,605800268,WRITE
6-2,608550268,610350268,WRITE
6-2,613100268,614900268,WRITE
6-2,617650268,619450268,WRITE
6-2,622200268,624000268,WRITE
6-2,626750268,628550268,WRITE
6-2,631300268,633100268,WRITE
6-2,635850268,637650268,WRITE
6-2,640400268,642200268,WRITE
6-2,644950268,646750268,WRITE
6-2,649500268,651300268,WRITE
6-2,654050268,655850268,WRITE
6-2,658600268,660400268,WRITE
6-2,663150268,664950268,WRITE
6-2,667700268,669500268,WRITE
6-2,672250268,674050268,WRITE
6-2,676800268,678600268,WRITE
6-2,681350268,683150268,WRITE
6-2,685900268,687700268,WRITE
6-2,690450268,692250268,WRITE
6-2,695000268,696800268,WRITE
6-2,699550268,701350268,WRITE
6-2,704100268,705900268,WRITE
6-2,708650268,710450268,WRITE
6-2,713200268,715000268,WRITE
6-2,717750268,719550268,WRITE
6-2,722300268,724100268,WRITE
6-2,726850268,728650268,WRITE
6-2,731400268,733200268,WRITE
6-2,735950268,737750268,WRITE
6-2,740500268,742300268,WRITE
6-2,745050268,746850268,WRITE
6-2,749600268,751400268,WRITE
6-2,754150268,755950268,WRITE
6-2,758700268,760500268,WRITE
6-2,763250268,765050268,WRITE
6-2,767800268,769600268,WRITE
6-2,772350268,774150268,WRITE
6-2,776900268,778700268,WRITE
6-2,781450268,783250268,WRITE
6-2,786000268,787800268,WRITE
6-2,790550268,792350268,WRITE
6-2,795100268,796900268,WRITE
6-2,799650268,801450268,WRITE
6-2,804200268,806000268,WRITE
6-2,808750268,810550268,WRITE
6-2,813300268,815100268,WRITE
6-2,817850268,819650268,WRITE
6-2,822400268,824200268,WRITE
6-2,826950268,828750268,WRITE
6-2,831500268,833300268,WRITE
6-2,836050268,837850268,WRITE
6-2,840600268,842400268,WRITE
6-2,845150268,846950268,WRITE
6-2,849700268,851500268,WRITE
6-2,854250268,856050268,WRITE
6-2,858800268,860600268,WRITE
6-2,863350268,865150268,WRITE
6-2,867900268,869700268,WRITE
6-2,872450268,874250268,WRITE
6-2,877000268,878800268,WRITE
6-2,881550268,883350268,WRITE
6-2,886100268,887900268,WRITE
6-2,890650268,892450268,WRITE
6-2,895200268,897000268,WRITE
6-2,899750268,901550268,WRITE
6-2,904300268,906100268,WRITE
6-2,908850268,910650268,WRITE
6-2,913400268,915200268,WRITE
6-2,917950268,919750268,WRITE
6-2,922500268,924300268,WRITE
6-2,927050268,928850268,WRITE
6-2,931600268,933400268,WRITE
6-2,936150268,937950268,WRITE
6-2,940700268,942500268,WRITE
6-2,945250268,947050268,WRITE
6-2,949800268,951600268,WRITE
6-2,954350268,956150268,WRITE
6-2,958900268,960700268,WRITE
6-2,963450268,965250268,WRITE
6-2,968000268,969800268,WRITE
6-2,972550268,974350268,WRITE
6-2,977100268,978900268,WRITE
6-2,981650268,983450268,WRITE
6-2,986200268,988000268,WRITE
6-2,990750268,992550268,WRITE
6-2,995300268,997100268,WRITE
6-2,999850268,1001650268,WRITE
6-2,1004400268,1006200268,WRITE
6-2,1008950268,1010750268,WRITE
6-2,1013500268,1015300268,WRITE
6-2,1018050268,1019850268,WRITE
6-2,1022600268,1024400268,WRITE
6-2,1027150268,1028950268,WRITE
6-2,1031700268,1033500268,WRITE
6-2,1036250268,1038050268,WRITE
6-2,1040800268,1042600268,WRITE
6-2,1045350268,1047150268,WRITE
6-2,1049900268,1051700268,WRITE
6-2,1054450268,1056250268,WRITE
6-2,1059000268,1060800268,WRITE
6-2,1063550268,1065350268,WRITE
6-2,1068100268,1069900268,WRITE
6-2,1072650268,1074450268,WRITE
6-2,1077200268,1079000268,WRITE
6-2,1081750268,1083550268,WRITE
6-2,1086300268,1088100268,WRITE
6-2,1090850268,1092650268,WRITE
6-2,1095400268,1097200268,WRITE
6-2,1099950268,1101750268,WRITE
6-2,1104500268,1106300268,WRITE
6-2,1109050268,1110850268,WRITE
6-2,1113600268,1115400268,WRITE
6-2,1118150268,1119950268,WRITE
6-2,1122700268,1124500268,WRITE
6-2,1127250268,1129050268,WRITE
6-2,1131800268,1133600268,WRITE
6-2,1136350268,1138150268,WRITE
6-2,1140900268,1142700268,WRITE
6-2,1145450268,1147250268,WRITE
6-2,1150000268,1151800268,WRITE
6-2,1154550268,1156350268,WRITE
6-2,1159100268,1160900268,WRITE
6-2,1163650268,1165450268,WRITE
6-2,1168200268,1170000268,WRITE
6-2,1172750268,1174550268,WRITE
6-2,1177300268,1179100268,WRITE
6-2,1181850268,1183650268,WRITE
6-2,1186400268,1188200268,WRITE
6-2,1190950268,1192750268,WRITE
6-2,1195500268,1197300268,WRITE
6-2,1200050268,1201850268,WRITE
6-2,1204600268,1206400268,WRITE
6-2,1209150268,1210950268,WRITE
6-2,1213700268,1215500268,WRITE
6-2,1218250268,1220050268,WRITE
6-2,1222800268,1224600268,WRITE
6-2,1227350268,1229150268,WRITE
6-2,1231900268,1233700268,WRITE
6-2,1236450268,1238250268,WRITE
6-2,1241000268,1242800268,WRITE
6-2,1245550268,1247350268,WRITE
6-2,1250100268,1251900268,WRITE
6-2,1254650268,1256450268,WRITE
6-2,1259200268,1261000268,WRITE
6-2,1263750268,1265550268,WRITE
6-2,1268300268,1270100268,WRITE
6-2,1272850268,1274650268,WRITE
6-2,1277400268,1279200268,WRITE
6-2,1281950268,1283750268,WRITE
6-2,1286500268,1288300268,WRITE
6-2,1291050268,1292850268,WRITE
6-2,1295600268,1297400268,WRITE
6-2,1300150268,1301950268,WRITE
6-2,1304700268,1306500268,WRITE
6-2,1309250268,1311050268,WRITE
6-2,1313800268,1315600268,WRITE
6-2,1318350268,1320150268,WRITE
6-2,1322900268,1324700268,WRITE
6-2,1327450268,1329250268,WRITE
6-2,1332000268,1333800268,WRITE
6-2,1336550268,1338350268,WRITE
6-2,1341100268,1342900268,WRITE
6-2,1345650268,1347450268,WRITE
6-2,1350200268,1352000268,WRITE
6-2,1354750268,1356550268,WRITE
6-2,1359300268,1361100268,WRITE
6-2,1363850268,1365650268,WRITE
6-2,1368400268,1370200268,WRITE
6-2,1372950268,1374750268,WRITE
6-2,1377500268,1379300268,WRITE
6-2,1382050268,1383850268,WRITE
6-2,1386600268,1388400268,WRITE
6-2,1391150268,1392950268,WRITE
6-2,1395700268,1397500268,WRITE
6-2,1400250268,1402050268,WRITE
6-2,1404800268,1406600268,WRITE
6-2,1409350268,1411150268,WRITE
6-2,1413900268,1415700268,WRITE
6-2,1418450268,1420250268,WRITE
6-2,1423000268,1424800268,WRITE
6-2,1427550268,1429350268,WRITE
6-2,1432100268,1433900268,WRITE
6-2,1436650268,1438450268,WRITE
6-2,1441200268,1443000268,WRITE
6-2,1445750268,1447550268,WRITE
6-2,1450300268,1452100268,WRITE
6-2,1454850268,1456650268,WRITE
6-2,1459400268,1461200268,WRITE
6-2,1463950268,1465750268,WRITE
6-2,1468500268,1470300268,WRITE
6-2,1473050268,1474850268,WRITE
6-2,1477600268,1479400268,WRITE
6-2,1482150268,1483950268,WRITE
6-2,1486700268,1488500268,WRITE
6-2,1491250268,1493050268,WRITE
6-2,1495800268,1497600268,WRITE
6-2,1500350268,1502150268,WRITE
6-2,1504900268,1506700268,WRITE
6-2,1509450268,1511250268,WRITE
6-2,1514000268,1515800268,WRITE
6-2,1518550268,1520350268,WRITE
6-2,1523100268,1524900268,WRITE
6-2,1527650268,1529450268,WRITE
6-2,1532200268,1534000268,WRITE
6-2,1536750268,1538550268,WRITE
6-2,1541300268,1543100268,WRITE
6-2,1545850268,1547650268,WRITE
6-2,1550400268,1552200268,WRITE
6-2,1554950268,1556750268,WRITE
6-2,1559500268,1561300268,WRITE
6-2,1564050268,1565850268,WRITE
6-2,1568600268,1570400268,WRITE
6-2,1573150268,1574950268,WRITE
6-2,1577700268,1579500268,WRITE
6-2,1582250268,1584050268,WRITE
6-2,1586800268,1588600268,WRITE
6-2,1591350268,1593150268,WRITE
6-2,1595900268,1597700268,WRITE
6-2,1600450268,1602250268,WRITE
6-2,1605000268,1606800268,WRITE
6-2,1609550268,1611350268,WRITE
6-2,1614100268,1615900268,WRITE
6-2,1618650268,1620450268,WRITE
6-2,1623200268,1625000268,WRITE
6-2,1627750268,1629550268,WRITE
6-2,1632300268,1634100268,WRITE
6-2,1636850268,1638650268,WRITE
6-2,1641400268,1643200268,WRITE
6-2,1645950268,1647750268,WRITE
6-2,1650500268,1652300268,WRITE
6-2,1655050268,1656850268,WRITE
6-2,1659600268,1661400268,WRITE
6-2,1664150268,1665950268,WRITE
6-2,1668700268,1670500268,WRITE
6-2,1673250268,1675050268,WRITE
6-2,1677800268,1679600268,WRITE
6-2,1682350268,1684150268,WRITE
